Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Andorra,AND,2020,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.916
Andorra,AND,2019,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.984
Andorra,AND,2018,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.062
Andorra,AND,2017,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.15
Andorra,AND,2016,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.248
Andorra,AND,2015,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.345
Andorra,AND,2014,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.441
Andorra,AND,2013,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.537
Andorra,AND,2012,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.631
Andorra,AND,2011,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.726
Andorra,AND,2010,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.819
Andorra,AND,2009,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.912
Andorra,AND,2008,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.004
Andorra,AND,2007,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.308
Andorra,AND,2006,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.807
Andorra,AND,2005,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.285
Andorra,AND,2004,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.751
Andorra,AND,2003,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.207
Andorra,AND,2002,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.641
Andorra,AND,2001,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.056
Andorra,AND,2000,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.395
